senseID	definition	lemma
call%2:29:05::	rouse somebody from sleep with a call	call.v
call%2:31:00::	challenge the sincerity or truthfulness of	call.v
call%2:31:05::	consider or regard as being	call.v
call%2:31:13::	utter in a loud voice or announce	call.v
call%2:32:00::	ascribe a quality to or give a name of a common noun that reflects a quality	call.v
call%2:32:01::	get or try to get into communication (with someone) by telephone	call.v
call%2:32:02::	assign a specified (usually proper) proper name to	call.v
call%2:32:03::	utter a characteristic note or cry	call.v
call%2:32:04::	send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message	call.v
call%2:32:05::	order, request, or command to come	call.v
call%2:32:06::	indicate a decision in regard to	call.v
call%2:32:07::	challenge (somebody) to make good on a statement; charge with or censure for an offense	call.v
call%2:32:08::	declare in the capacity of an umpire or referee	call.v
call%2:32:09::	utter a sudden loud cry	call.v
call%2:32:10::	make a prediction about; tell in advance	call.v
call%2:32:11::	lure by imitating the characteristic call of an animal	call.v
call%2:32:12::	require the presentation of for redemption before maturation	call.v
call%2:32:13::	read aloud to check for omissions or absentees	call.v
call%2:32:14::	order, summon, or request for a specific duty or activity, work, role	call.v
call%2:32:15::	order or request or give a command for	call.v
call%2:38:00::	give the calls (to the dancers) for a square dance	call.v
call%2:40:05::	make a demand, as for a card or a suit or a show of hands	call.v
call%2:40:09::	demand payment of (a loan)	call.v
call%2:41:00::	pay a brief visit	call.v
call%2:41:04::	call a meeting; invite or command to meet	call.v
call%2:41:12::	make a stop in a harbour	call.v
call%2:41:14::	greet, as with a prescribed form, title, or name	call.v
call%2:42:09::	stop or postpone because of adverse conditions, such as bad weather	call.v
