senseID	definition	lemma
rough%3:00:00::	having or caused by an irregular surface	rough.a
rough%3:00:02::	of the margin of a leaf shape; having the edge cut or fringed or scalloped	rough.a
rough%3:00:04::	causing or characterized by jolts and irregular movements	rough.a
rough%3:00:05::	not shaped by cutting or trimming	rough.a
rough%5:00:00:aggressive:00	ready and able to resort to force or violence; - Herman Melville	rough.a
rough%5:00:00:cacophonous:00	unpleasantly harsh or grating in sound	rough.a
rough%5:00:00:difficult:00	full of hardship or trials	rough.a
rough%5:00:00:inexact:00	not quite exact or correct	rough.a
rough%5:00:00:stormy:00	violently agitated and turbulent; ; - Ezra Pound	rough.a
rough%5:00:00:unkind:00	unkind or cruel or uncivil	rough.a
rough%5:00:00:unpleasant:00	unpleasantly stern	rough.a
rough%5:00:00:unpolished:00	not perfected	rough.a
rough%5:00:00:unrefined:01	(of persons or behavior) lacking refinement or finesse	rough.a
rough%5:00:00:unskilled:00	not carefully or expertly made	rough.a
