senseID	definition	lemma
bright%3:00:00::	emitting or reflecting light readily or in large amounts	bright.a
bright%3:00:02::	not made dim or less bright	bright.a
bright%5:00:00:auspicious:00	full or promise	bright.a
bright%5:00:00:colorful:00	having striking color	bright.a
bright%5:00:00:glorious:00	splendid	bright.a
bright%5:00:00:happy:00	characterized by happiness or gladness	bright.a
bright%5:00:00:intelligent:00	characterized by quickness and ease in learning	bright.a
bright%5:00:00:light:06	having lots of light either natural or artificial	bright.a
bright%5:00:00:polished:00	made smooth and bright by or as if by rubbing; reflecting a sheen or glow	bright.a
bright%5:00:00:reverberant:00	clear and sharp and ringing	bright.a
