senseID	definition	lemma
fix%2:29:00::	make infertile	fix.v
fix%2:30:00::	make fixed, stable or stationary	fix.v
fix%2:30:01::	restore by replacing a part or putting together what is torn or broken	fix.v
fix%2:30:02::	kill, preserve, and harden (tissue) in order to prepare for microscopic study	fix.v
fix%2:30:03::	make ready or suitable or equip in advance for a particular purpose or for some use, event, etc	fix.v
fix%2:32:03::	decide upon or fix definitely	fix.v
fix%2:33:00::	take vengeance on or get even	fix.v
fix%2:35:00::	cause to be firmly attached	fix.v
fix%2:35:01::	put (something somewhere) firmly	fix.v
fix%2:36:00::	prepare for eating by applying heat	fix.v
fix%2:36:01::	set or place definitely	fix.v
fix%2:41:04::	influence an event or its outcome by illegal means	fix.v
